timestamp,gateset,family,size,variant,passA,passB,direction,depth_before,depth_after,depth_delta,n_ops_total_before,n_ops_total_after,n_ops_total_delta,n_ops_total_gates_before,n_ops_total_gates_after,n_ops_total_gates_delta,n_ops1_before,n_ops1_after,n_ops1_delta,n_ops2_before,n_ops2_after,n_ops2_delta,other_before,other_after,other_delta,barrier_before,barrier_after,barrier_delta,measure_before,measure_after,measure_delta,reset_before,reset_after,reset_delta,top_ops_before,top_ops_after,n_qubits_before,n_qubits_after
2025-10-05T22:28:50,ibm_falcon,grover,8,,RB,RR,A_then_B,4995,4449,-546,7591,6687,-904,7582,6679,-903,5398,4495,-903,2192,2192,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rz"", 4342], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 3439], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8]]",8,8
2025-10-05T22:28:50,ibm_falcon,grover,8,,RB,RR,B_then_A,4995,4450,-545,7591,6694,-897,7582,6686,-896,5398,4502,-896,2192,2192,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rz"", 4342], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 3446], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8]]",8,8
2025-10-05T22:28:51,ibm_falcon,grover,8,,RB,CTM,A_then_B,4995,5112,117,7591,7590,-1,7582,7582,0,5398,5398,0,2192,2192,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rz"", 4342], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 4342], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8]]",8,8
2025-10-05T22:28:51,ibm_falcon,grover,8,,RB,CTM,B_then_A,4995,5112,117,7591,7590,-1,7582,7582,0,5398,5398,0,2192,2192,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rz"", 4342], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 4342], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8]]",8,8
2025-10-05T22:28:52,ibm_falcon,grover,8,,RR,CTM,A_then_B,4995,4567,-428,7591,6695,-896,7582,6686,-896,5398,4502,-896,2192,2192,0,1,1,0,1,1,0,8,8,0,0,0,0,"[[""rz"", 4342], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 3446], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8], [""barrier"", 1]]",8,8
2025-10-05T22:28:52,ibm_falcon,grover,8,,RR,CTM,B_then_A,4995,4418,-577,7591,6392,-1199,7582,6383,-1199,5398,4199,-1199,2192,2192,0,1,1,0,1,1,0,8,8,0,0,0,0,"[[""rz"", 4342], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 3143], [""cx"", 2192], [""sx"", 839], [""x"", 209], [""measure"", 8], [""barrier"", 1]]",8,8
2025-10-05T22:30:28,ibm_falcon,grover,16,,RB,RR,A_then_B,636899,558795,-78104,852205,736459,-115746,852188,736443,-115745,617904,502159,-115745,234300,234300,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 494900], [""cx"", 234300], [""sx"", 112479], [""x"", 10509], [""measure"", 16], [""barrier"", 1]]","[[""rz"", 379155], [""cx"", 234300], [""sx"", 112479], [""x"", 10509], [""measure"", 16]]",16,16
2025-10-05T22:31:34,ibm_falcon,grover,16,,RB,RR,B_then_A,636899,558796,-78103,852205,736474,-115731,852188,736458,-115730,617904,502174,-115730,234300,234300,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 494900], [""cx"", 234300], [""sx"", 112479], [""x"", 10509], [""measure"", 16], [""barrier"", 1]]","[[""rz"", 379170], [""cx"", 234300], [""sx"", 112479], [""x"", 10509], [""measure"", 16]]",16,16
2025-10-05T22:32:48,ibm_falcon,grover,16,,RB,CTM,A_then_B,636899,655498,18599,852205,852204,-1,852188,852188,0,617904,617904,0,234300,234300,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 494900], [""cx"", 234300], [""sx"", 112479], [""x"", 10509], [""measure"", 16], [""barrier"", 1]]","[[""rz"", 494900], [""cx"", 234300], [""sx"", 112479], [""x"", 10509], [""measure"", 16]]",16,16
2025-10-05T22:34:01,ibm_falcon,grover,16,,RB,CTM,B_then_A,636899,655498,18599,852205,852204,-1,852188,852188,0,617904,617904,0,234300,234300,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 494900], [""cx"", 234300], [""sx"", 112479], [""x"", 10509], [""measure"", 16], [""barrier"", 1]]","[[""rz"", 494900], [""cx"", 234300], [""sx"", 112479], [""x"", 10509], [""measure"", 16]]",16,16
