timestamp,gateset,family,size,variant,passA,passB,direction,depth_before,depth_after,depth_delta,n_ops_total_before,n_ops_total_after,n_ops_total_delta,n_ops_total_gates_before,n_ops_total_gates_after,n_ops_total_gates_delta,n_ops1_before,n_ops1_after,n_ops1_delta,n_ops2_before,n_ops2_after,n_ops2_delta,other_before,other_after,other_delta,barrier_before,barrier_after,barrier_delta,measure_before,measure_after,measure_delta,reset_before,reset_after,reset_delta,top_ops_before,top_ops_after,n_qubits_before,n_qubits_after
2025-10-05T22:23:33,ibm_falcon,qft,8,,RB,RR,A_then_B,63,61,-2,185,170,-15,176,162,-14,116,102,-14,68,68,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rz"", 100], [""cx"", 68], [""sx"", 8], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 86], [""cx"", 68], [""sx"", 8], [""measure"", 8]]",8,8
2025-10-05T22:23:33,ibm_falcon,qft,8,,RB,RR,B_then_A,63,61,-2,185,170,-15,176,162,-14,116,102,-14,68,68,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rz"", 100], [""cx"", 68], [""sx"", 8], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 86], [""cx"", 68], [""sx"", 8], [""measure"", 8]]",8,8
2025-10-05T22:23:33,ibm_falcon,qft,8,,RB,CTM,A_then_B,63,84,21,185,184,-1,176,176,0,116,116,0,68,68,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rz"", 100], [""cx"", 68], [""sx"", 8], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 100], [""cx"", 68], [""sx"", 8], [""measure"", 8]]",8,8
2025-10-05T22:23:33,ibm_falcon,qft,8,,RB,CTM,B_then_A,63,84,21,185,184,-1,176,176,0,116,116,0,68,68,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rz"", 100], [""cx"", 68], [""sx"", 8], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 100], [""cx"", 68], [""sx"", 8], [""measure"", 8]]",8,8
2025-10-05T22:23:33,ibm_falcon,qft,8,,RR,CTM,A_then_B,63,71,8,185,171,-14,176,162,-14,116,102,-14,68,68,0,1,1,0,1,1,0,8,8,0,0,0,0,"[[""rz"", 100], [""cx"", 68], [""sx"", 8], [""measure"", 8], [""barrier"", 1]]","[[""rz"", 86], [""cx"", 68], [""sx"", 8], [""measure"", 8], [""barrier"", 1]]",8,8
2025-10-05T22:23:33,ibm_falcon,qft,8,,RR,CTM,B_then_A,63,55,-8,185,150,-35,176,141,-35,116,81,-35,68,68,0,1,1,0,1,1,0,8,8,0,0,0,0,"[[""rz"", 100], [""cx"", 68], [""sx"", 8], [""measure"", 8], [""barrier"", 1]]","[[""cx"", 68], [""rz"", 65], [""sx"", 8], [""measure"", 8], [""barrier"", 1]]",8,8
2025-10-05T22:23:33,ibm_falcon,qft,16,,RB,RR,A_then_B,127,125,-2,689,658,-31,672,642,-30,424,394,-30,264,264,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 392], [""cx"", 264], [""sx"", 16], [""measure"", 16], [""barrier"", 1]]","[[""rz"", 362], [""cx"", 264], [""sx"", 16], [""measure"", 16]]",16,16
2025-10-05T22:23:34,ibm_falcon,qft,16,,RB,RR,B_then_A,127,125,-2,689,658,-31,672,642,-30,424,394,-30,264,264,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 392], [""cx"", 264], [""sx"", 16], [""measure"", 16], [""barrier"", 1]]","[[""rz"", 362], [""cx"", 264], [""sx"", 16], [""measure"", 16]]",16,16
2025-10-05T22:23:34,ibm_falcon,qft,16,,RB,CTM,A_then_B,127,232,105,689,688,-1,672,672,0,424,424,0,264,264,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 392], [""cx"", 264], [""sx"", 16], [""measure"", 16], [""barrier"", 1]]","[[""rz"", 392], [""cx"", 264], [""sx"", 16], [""measure"", 16]]",16,16
2025-10-05T22:23:34,ibm_falcon,qft,16,,RB,CTM,B_then_A,127,232,105,689,688,-1,672,672,0,424,424,0,264,264,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 392], [""cx"", 264], [""sx"", 16], [""measure"", 16], [""barrier"", 1]]","[[""rz"", 392], [""cx"", 264], [""sx"", 16], [""measure"", 16]]",16,16
