timestamp,gateset,family,size,variant,passA,passB,direction,depth_before,depth_after,depth_delta,n_ops_total_before,n_ops_total_after,n_ops_total_delta,n_ops_total_gates_before,n_ops_total_gates_after,n_ops_total_gates_delta,n_ops1_before,n_ops1_after,n_ops1_delta,n_ops2_before,n_ops2_after,n_ops2_delta,other_before,other_after,other_delta,barrier_before,barrier_after,barrier_delta,measure_before,measure_after,measure_delta,reset_before,reset_after,reset_delta,top_ops_before,top_ops_after,n_qubits_before,n_qubits_after
2025-10-06T01:11:32,ibm_falcon,randomcircuit,16,,RB,RR,A_then_B,761,642,-119,3546,3072,-474,3529,3056,-473,2614,2141,-473,931,931,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 2065], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""noop"", 1], [""barrier"", 1]]","[[""rz"", 1593], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3]]",16,16
2025-10-06T01:11:32,ibm_falcon,randomcircuit,16,,RB,RR,B_then_A,761,643,-118,3546,3075,-471,3529,3059,-470,2614,2144,-470,931,931,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 2065], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""noop"", 1], [""barrier"", 1]]","[[""rz"", 1596], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3]]",16,16
2025-10-06T01:11:32,ibm_falcon,randomcircuit,16,,RB,CTM,A_then_B,761,776,15,3546,3545,-1,3529,3529,0,2614,2614,0,931,931,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 2065], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""noop"", 1], [""barrier"", 1]]","[[""rz"", 2065], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""noop"", 1]]",16,16
2025-10-06T01:11:32,ibm_falcon,randomcircuit,16,,RB,CTM,B_then_A,761,776,15,3546,3545,-1,3529,3529,0,2614,2614,0,931,931,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rz"", 2065], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""noop"", 1], [""barrier"", 1]]","[[""rz"", 2065], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""noop"", 1]]",16,16
2025-10-06T01:11:32,ibm_falcon,randomcircuit,16,,RR,CTM,A_then_B,761,652,-109,3546,3076,-470,3529,3059,-470,2614,2144,-470,931,931,0,1,1,0,1,1,0,16,16,0,0,0,0,"[[""rz"", 2065], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""noop"", 1], [""barrier"", 1]]","[[""rz"", 1596], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""barrier"", 1]]",16,16
2025-10-06T01:11:32,ibm_falcon,randomcircuit,16,,RR,CTM,B_then_A,761,631,-130,3546,2894,-652,3529,2877,-652,2614,1962,-652,931,931,0,1,1,0,1,1,0,16,16,0,0,0,0,"[[""rz"", 2065], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""noop"", 1], [""barrier"", 1]]","[[""rz"", 1414], [""cx"", 931], [""sx"", 529], [""measure"", 16], [""x"", 3], [""barrier"", 1]]",16,16
2025-10-06T01:11:33,ibm_falcon,randomcircuit,32,,RB,RR,A_then_B,2110,1753,-357,14278,12336,-1942,14245,12304,-1941,10549,8610,-1939,3728,3726,-2,1,0,-1,1,0,-1,32,32,0,0,0,0,"[[""rz"", 8351], [""cx"", 3728], [""sx"", 2138], [""measure"", 32], [""x"", 19], [""noop"", 9], [""barrier"", 1]]","[[""rz"", 6421], [""cx"", 3726], [""sx"", 2138], [""measure"", 32], [""x"", 19]]",32,32
2025-10-06T01:11:34,ibm_falcon,randomcircuit,32,,RB,RR,B_then_A,2110,1754,-356,14278,12346,-1932,14245,12314,-1931,10549,8620,-1929,3728,3726,-2,1,0,-1,1,0,-1,32,32,0,0,0,0,"[[""rz"", 8351], [""cx"", 3728], [""sx"", 2138], [""measure"", 32], [""x"", 19], [""noop"", 9], [""barrier"", 1]]","[[""rz"", 6431], [""cx"", 3726], [""sx"", 2138], [""measure"", 32], [""x"", 19]]",32,32
2025-10-06T01:11:35,ibm_falcon,randomcircuit,32,,RB,CTM,A_then_B,2110,2108,-2,14278,14277,-1,14245,14245,0,10549,10549,0,3728,3728,0,1,0,-1,1,0,-1,32,32,0,0,0,0,"[[""rz"", 8351], [""cx"", 3728], [""sx"", 2138], [""measure"", 32], [""x"", 19], [""noop"", 9], [""barrier"", 1]]","[[""rz"", 8351], [""cx"", 3728], [""sx"", 2138], [""measure"", 32], [""x"", 19], [""noop"", 9]]",32,32
2025-10-06T01:11:36,ibm_falcon,randomcircuit,32,,RB,CTM,B_then_A,2110,2108,-2,14278,14277,-1,14245,14245,0,10549,10549,0,3728,3728,0,1,0,-1,1,0,-1,32,32,0,0,0,0,"[[""rz"", 8351], [""cx"", 3728], [""sx"", 2138], [""measure"", 32], [""x"", 19], [""noop"", 9], [""barrier"", 1]]","[[""rz"", 8351], [""cx"", 3728], [""sx"", 2138], [""measure"", 32], [""x"", 19], [""noop"", 9]]",32,32
2025-10-06T01:11:37,ibm_falcon,randomcircuit,32,,RR,CTM,A_then_B,2110,1759,-351,14278,12347,-1931,14245,12314,-1931,10549,8620,-1929,3728,3726,-2,1,1,0,1,1,0,32,32,0,0,0,0,"[[""rz"", 8351], [""cx"", 3728], [""sx"", 2138], [""measure"", 32], [""x"", 19], [""noop"", 9], [""barrier"", 1]]","[[""rz"", 6431], [""cx"", 3726], [""sx"", 2138], [""measure"", 32], [""x"", 19], [""barrier"", 1]]",32,32
