timestamp,gateset,family,size,variant,passA,passB,direction,depth_before,depth_after,depth_delta,n_ops_total_before,n_ops_total_after,n_ops_total_delta,n_ops_total_gates_before,n_ops_total_gates_after,n_ops_total_gates_delta,n_ops1_before,n_ops1_after,n_ops1_delta,n_ops2_before,n_ops2_after,n_ops2_delta,other_before,other_after,other_delta,barrier_before,barrier_after,barrier_delta,measure_before,measure_after,measure_delta,reset_before,reset_after,reset_delta,top_ops_before,top_ops_after,n_qubits_before,n_qubits_after
2025-10-05T22:40:19,quantinuum,grover,16,,RB,RR,A_then_B,1412960,1243259,-169701,2140982,1870187,-270795,2140965,1870171,-270794,1907107,1636313,-270794,233874,233874,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rx"", 825320], [""ry"", 579375], [""rz"", 502396], [""zzphase"", 233874], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 579944], [""ry"", 578807], [""rz"", 477546], [""zzphase"", 233874], [""measure"", 16]]",16,16
2025-10-05T22:43:06,quantinuum,grover,16,,RB,RR,B_then_A,1412960,1243259,-169701,2140982,1870187,-270795,2140965,1870171,-270794,1907107,1636313,-270794,233874,233874,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rx"", 825320], [""ry"", 579375], [""rz"", 502396], [""zzphase"", 233874], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 579944], [""ry"", 578807], [""rz"", 477546], [""zzphase"", 233874], [""measure"", 16]]",16,16
2025-10-05T22:46:15,quantinuum,grover,16,,RB,CTM,A_then_B,1412960,1577091,164131,2140982,2140981,-1,2140965,2140965,0,1907107,1907107,0,233874,233874,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rx"", 825320], [""ry"", 579375], [""rz"", 502396], [""zzphase"", 233874], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 825320], [""ry"", 579375], [""rz"", 502396], [""zzphase"", 233874], [""measure"", 16]]",16,16
2025-10-05T22:49:28,quantinuum,grover,16,,RB,CTM,B_then_A,1412960,1577091,164131,2140982,2140981,-1,2140965,2140965,0,1907107,1907107,0,233874,233874,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rx"", 825320], [""ry"", 579375], [""rz"", 502396], [""zzphase"", 233874], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 825320], [""ry"", 579375], [""rz"", 502396], [""zzphase"", 233874], [""measure"", 16]]",16,16
2025-10-05T22:52:29,quantinuum,grover,16,,RR,CTM,A_then_B,1412960,1385664,-27296,2140982,1870188,-270794,2140965,1870171,-270794,1907107,1636313,-270794,233874,233874,0,1,1,0,1,1,0,16,16,0,0,0,0,"[[""rx"", 825320], [""ry"", 579375], [""rz"", 502396], [""zzphase"", 233874], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 579944], [""ry"", 578807], [""rz"", 477546], [""zzphase"", 233874], [""measure"", 16], [""barrier"", 1]]",16,16
2025-10-05T22:55:26,quantinuum,grover,16,,RR,CTM,B_then_A,1412960,1237155,-175805,2140982,1680334,-460648,2140965,1680317,-460648,1907107,1446459,-460648,233874,233874,0,1,1,0,1,1,0,16,16,0,0,0,0,"[[""rx"", 825320], [""ry"", 579375], [""rz"", 502396], [""zzphase"", 233874], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 579944], [""ry"", 578807], [""rz"", 287692], [""zzphase"", 233874], [""measure"", 16], [""barrier"", 1]]",16,16
2025-10-05T22:55:29,quantinuum,grover,8,,RB,RR,A_then_B,12178,10565,-1613,19648,16815,-2833,19639,16807,-2832,17479,14647,-2832,2168,2168,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rx"", 7592], [""ry"", 5127], [""rz"", 4752], [""zzphase"", 2168], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 5160], [""ry"", 5095], [""rz"", 4384], [""zzphase"", 2168], [""measure"", 8]]",8,8
2025-10-05T22:55:30,quantinuum,grover,8,,RB,RR,B_then_A,12178,10565,-1613,19648,16815,-2833,19639,16807,-2832,17479,14647,-2832,2168,2168,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rx"", 7592], [""ry"", 5127], [""rz"", 4752], [""zzphase"", 2168], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 5160], [""ry"", 5095], [""rz"", 4384], [""zzphase"", 2168], [""measure"", 8]]",8,8
2025-10-05T22:55:31,quantinuum,grover,8,,RB,CTM,A_then_B,12178,12993,815,19648,19647,-1,19639,19639,0,17479,17479,0,2168,2168,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rx"", 7592], [""ry"", 5127], [""rz"", 4752], [""zzphase"", 2168], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 7592], [""ry"", 5127], [""rz"", 4752], [""zzphase"", 2168], [""measure"", 8]]",8,8
2025-10-05T22:55:32,quantinuum,grover,8,,RB,CTM,B_then_A,12178,12993,815,19648,19647,-1,19639,19639,0,17479,17479,0,2168,2168,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rx"", 7592], [""ry"", 5127], [""rz"", 4752], [""zzphase"", 2168], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 7592], [""ry"", 5127], [""rz"", 4752], [""zzphase"", 2168], [""measure"", 8]]",8,8
