timestamp,gateset,family,size,variant,passA,passB,direction,depth_before,depth_after,depth_delta,n_ops_total_before,n_ops_total_after,n_ops_total_delta,n_ops_total_gates_before,n_ops_total_gates_after,n_ops_total_gates_delta,n_ops1_before,n_ops1_after,n_ops1_delta,n_ops2_before,n_ops2_after,n_ops2_delta,other_before,other_after,other_delta,barrier_before,barrier_after,barrier_delta,measure_before,measure_after,measure_delta,reset_before,reset_after,reset_delta,top_ops_before,top_ops_after,n_qubits_before,n_qubits_after
2025-10-05T22:22:51,quantinuum,qaoa,16,r1_seed22_sym,RB,RR,A_then_B,23,23,0,108,108,0,108,108,0,48,48,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]","[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]",16,16
2025-10-05T22:22:51,quantinuum,qaoa,16,r1_seed22_sym,RB,RR,B_then_A,23,23,0,108,108,0,108,108,0,48,48,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]","[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]",16,16
2025-10-05T22:22:51,quantinuum,qaoa,16,r1_seed22_sym,RB,CTM,A_then_B,23,23,0,108,108,0,108,108,0,48,48,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]","[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]",16,16
2025-10-05T22:22:51,quantinuum,qaoa,16,r1_seed22_sym,RB,CTM,B_then_A,23,23,0,108,108,0,108,108,0,48,48,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]","[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]",16,16
2025-10-05T22:22:51,quantinuum,qaoa,16,r1_seed22_sym,RR,CTM,A_then_B,23,23,0,108,108,0,108,108,0,48,48,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]","[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]",16,16
2025-10-05T22:22:51,quantinuum,qaoa,16,r1_seed22_sym,RR,CTM,B_then_A,23,23,0,108,108,0,108,108,0,48,48,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]","[[""zzphase"", 60], [""rx"", 32], [""ry"", 16]]",16,16
2025-10-05T22:22:51,quantinuum,qaoa,8,r1_seed33_sym,RB,RR,A_then_B,12,12,0,38,38,0,38,38,0,24,24,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""rx"", 16], [""zzphase"", 14], [""ry"", 8]]","[[""rx"", 16], [""zzphase"", 14], [""ry"", 8]]",8,8
2025-10-05T22:22:51,quantinuum,qaoa,8,r1_seed33_sym,RB,RR,B_then_A,12,12,0,38,38,0,38,38,0,24,24,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""rx"", 16], [""zzphase"", 14], [""ry"", 8]]","[[""rx"", 16], [""zzphase"", 14], [""ry"", 8]]",8,8
2025-10-05T22:22:51,quantinuum,qaoa,8,r1_seed33_sym,RB,CTM,A_then_B,12,12,0,38,38,0,38,38,0,24,24,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""rx"", 16], [""zzphase"", 14], [""ry"", 8]]","[[""rx"", 16], [""zzphase"", 14], [""ry"", 8]]",8,8
2025-10-05T22:22:51,quantinuum,qaoa,8,r1_seed33_sym,RB,CTM,B_then_A,12,12,0,38,38,0,38,38,0,24,24,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"[[""rx"", 16], [""zzphase"", 14], [""ry"", 8]]","[[""rx"", 16], [""zzphase"", 14], [""ry"", 8]]",8,8
