timestamp,gateset,family,size,variant,passA,passB,direction,depth_before,depth_after,depth_delta,n_ops_total_before,n_ops_total_after,n_ops_total_delta,n_ops_total_gates_before,n_ops_total_gates_after,n_ops_total_gates_delta,n_ops1_before,n_ops1_after,n_ops1_delta,n_ops2_before,n_ops2_after,n_ops2_delta,other_before,other_after,other_delta,barrier_before,barrier_after,barrier_delta,measure_before,measure_after,measure_delta,reset_before,reset_after,reset_delta,top_ops_before,top_ops_after,n_qubits_before,n_qubits_after
2025-10-06T01:11:38,quantinuum,randomcircuit,8,,RB,RR,A_then_B,523,473,-50,1545,1362,-183,1536,1354,-182,1364,1182,-182,180,180,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rx"", 658], [""ry"", 381], [""rz"", 317], [""zzphase"", 180], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 487], [""ry"", 381], [""rz"", 306], [""zzphase"", 180], [""measure"", 8]]",8,8
2025-10-06T01:11:38,quantinuum,randomcircuit,8,,RB,RR,B_then_A,523,473,-50,1545,1367,-178,1536,1359,-177,1364,1187,-177,180,180,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rx"", 658], [""ry"", 381], [""rz"", 317], [""zzphase"", 180], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 487], [""ry"", 381], [""rz"", 311], [""zzphase"", 180], [""measure"", 8]]",8,8
2025-10-06T01:11:38,quantinuum,randomcircuit,8,,RB,CTM,A_then_B,523,539,16,1545,1544,-1,1536,1536,0,1364,1364,0,180,180,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rx"", 658], [""ry"", 381], [""rz"", 317], [""zzphase"", 180], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 658], [""ry"", 381], [""rz"", 317], [""zzphase"", 180], [""measure"", 8]]",8,8
2025-10-06T01:11:38,quantinuum,randomcircuit,8,,RB,CTM,B_then_A,523,539,16,1545,1544,-1,1536,1536,0,1364,1364,0,180,180,0,1,0,-1,1,0,-1,8,8,0,0,0,0,"[[""rx"", 658], [""ry"", 381], [""rz"", 317], [""zzphase"", 180], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 658], [""ry"", 381], [""rz"", 317], [""zzphase"", 180], [""measure"", 8]]",8,8
2025-10-06T01:11:38,quantinuum,randomcircuit,8,,RR,CTM,A_then_B,523,483,-40,1545,1368,-177,1536,1359,-177,1364,1187,-177,180,180,0,1,1,0,1,1,0,8,8,0,0,0,0,"[[""rx"", 658], [""ry"", 381], [""rz"", 317], [""zzphase"", 180], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 487], [""ry"", 381], [""rz"", 311], [""zzphase"", 180], [""measure"", 8], [""barrier"", 1]]",8,8
2025-10-06T01:11:38,quantinuum,randomcircuit,8,,RR,CTM,B_then_A,523,463,-60,1545,1296,-249,1536,1287,-249,1364,1115,-249,180,180,0,1,1,0,1,1,0,8,8,0,0,0,0,"[[""rx"", 658], [""ry"", 381], [""rz"", 317], [""zzphase"", 180], [""measure"", 8], [""barrier"", 1]]","[[""rx"", 487], [""ry"", 381], [""rz"", 239], [""zzphase"", 180], [""measure"", 8], [""barrier"", 1]]",8,8
2025-10-06T01:11:40,quantinuum,randomcircuit,32,,RB,RR,A_then_B,2363,2130,-233,26855,23621,-3234,26822,23589,-3233,23773,20540,-3233,3081,3081,0,1,0,-1,1,0,-1,32,32,0,0,0,0,"[[""rx"", 11442], [""ry"", 6780], [""rz"", 5519], [""zzphase"", 3081], [""measure"", 32], [""barrier"", 1]]","[[""rx"", 8385], [""ry"", 6754], [""rz"", 5369], [""zzphase"", 3081], [""measure"", 32]]",32,32
2025-10-06T01:11:41,quantinuum,randomcircuit,32,,RB,RR,B_then_A,2363,2130,-233,26855,23636,-3219,26822,23604,-3218,23773,20555,-3218,3081,3081,0,1,0,-1,1,0,-1,32,32,0,0,0,0,"[[""rx"", 11442], [""ry"", 6780], [""rz"", 5519], [""zzphase"", 3081], [""measure"", 32], [""barrier"", 1]]","[[""rx"", 8385], [""ry"", 6754], [""rz"", 5384], [""zzphase"", 3081], [""measure"", 32]]",32,32
2025-10-06T01:11:42,quantinuum,randomcircuit,32,,RB,CTM,A_then_B,2363,2490,127,26855,26854,-1,26822,26822,0,23773,23773,0,3081,3081,0,1,0,-1,1,0,-1,32,32,0,0,0,0,"[[""rx"", 11442], [""ry"", 6780], [""rz"", 5519], [""zzphase"", 3081], [""measure"", 32], [""barrier"", 1]]","[[""rx"", 11442], [""ry"", 6780], [""rz"", 5519], [""zzphase"", 3081], [""measure"", 32]]",32,32
2025-10-06T01:11:44,quantinuum,randomcircuit,32,,RB,CTM,B_then_A,2363,2490,127,26855,26854,-1,26822,26822,0,23773,23773,0,3081,3081,0,1,0,-1,1,0,-1,32,32,0,0,0,0,"[[""rx"", 11442], [""ry"", 6780], [""rz"", 5519], [""zzphase"", 3081], [""measure"", 32], [""barrier"", 1]]","[[""rx"", 11442], [""ry"", 6780], [""rz"", 5519], [""zzphase"", 3081], [""measure"", 32]]",32,32
2025-10-06T01:11:45,quantinuum,randomcircuit,32,,RR,CTM,A_then_B,2363,2242,-121,26855,23637,-3218,26822,23604,-3218,23773,20555,-3218,3081,3081,0,1,1,0,1,1,0,32,32,0,0,0,0,"[[""rx"", 11442], [""ry"", 6780], [""rz"", 5519], [""zzphase"", 3081], [""measure"", 32], [""barrier"", 1]]","[[""rx"", 8385], [""ry"", 6754], [""rz"", 5384], [""zzphase"", 3081], [""measure"", 32], [""barrier"", 1]]",32,32
2025-10-06T01:11:46,quantinuum,randomcircuit,32,,RR,CTM,B_then_A,2363,2099,-264,26855,22330,-4525,26822,22297,-4525,23773,19248,-4525,3081,3081,0,1,1,0,1,1,0,32,32,0,0,0,0,"[[""rx"", 11442], [""ry"", 6780], [""rz"", 5519], [""zzphase"", 3081], [""measure"", 32], [""barrier"", 1]]","[[""rx"", 8385], [""ry"", 6754], [""rz"", 4077], [""zzphase"", 3081], [""measure"", 32], [""barrier"", 1]]",32,32
2025-10-06T01:11:47,quantinuum,randomcircuit,16,,RB,RR,A_then_B,1027,923,-104,6833,6004,-829,6816,5988,-828,6055,5228,-827,777,776,-1,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rx"", 2959], [""ry"", 1705], [""rz"", 1375], [""zzphase"", 777], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 2162], [""ry"", 1703], [""rz"", 1347], [""zzphase"", 776], [""measure"", 16]]",16,16
2025-10-06T01:11:47,quantinuum,randomcircuit,16,,RB,RR,B_then_A,1027,923,-104,6833,6010,-823,6816,5994,-822,6055,5233,-822,777,777,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rx"", 2959], [""ry"", 1705], [""rz"", 1375], [""zzphase"", 777], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 2162], [""ry"", 1703], [""rz"", 1352], [""zzphase"", 777], [""measure"", 16]]",16,16
2025-10-06T01:11:47,quantinuum,randomcircuit,16,,RB,CTM,A_then_B,1027,1069,42,6833,6832,-1,6816,6816,0,6055,6055,0,777,777,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rx"", 2959], [""ry"", 1705], [""rz"", 1375], [""zzphase"", 777], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 2959], [""ry"", 1705], [""rz"", 1375], [""zzphase"", 777], [""measure"", 16]]",16,16
2025-10-06T01:11:47,quantinuum,randomcircuit,16,,RB,CTM,B_then_A,1027,1069,42,6833,6832,-1,6816,6816,0,6055,6055,0,777,777,0,1,0,-1,1,0,-1,16,16,0,0,0,0,"[[""rx"", 2959], [""ry"", 1705], [""rz"", 1375], [""zzphase"", 777], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 2959], [""ry"", 1705], [""rz"", 1375], [""zzphase"", 777], [""measure"", 16]]",16,16
2025-10-06T01:11:48,quantinuum,randomcircuit,16,,RR,CTM,A_then_B,1027,958,-69,6833,6011,-822,6816,5994,-822,6055,5233,-822,777,777,0,1,1,0,1,1,0,16,16,0,0,0,0,"[[""rx"", 2959], [""ry"", 1705], [""rz"", 1375], [""zzphase"", 777], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 2162], [""ry"", 1703], [""rz"", 1352], [""zzphase"", 777], [""measure"", 16], [""barrier"", 1]]",16,16
2025-10-06T01:11:48,quantinuum,randomcircuit,16,,RR,CTM,B_then_A,1027,910,-117,6833,5713,-1120,6816,5696,-1120,6055,4935,-1120,777,777,0,1,1,0,1,1,0,16,16,0,0,0,0,"[[""rx"", 2959], [""ry"", 1705], [""rz"", 1375], [""zzphase"", 777], [""measure"", 16], [""barrier"", 1]]","[[""rx"", 2162], [""ry"", 1703], [""rz"", 1054], [""zzphase"", 777], [""measure"", 16], [""barrier"", 1]]",16,16
