timestamp,gateset,family,size,variant,passA,passB,direction,depth_before,depth_after,depth_delta,n_ops_total_before,n_ops_total_after,n_ops_total_delta,n_ops_total_gates_before,n_ops_total_gates_after,n_ops_total_gates_delta,n_ops1_before,n_ops1_after,n_ops1_delta,n_ops2_before,n_ops2_after,n_ops2_delta,other_before,other_after,other_delta,barrier_before,barrier_after,barrier_delta,measure_before,measure_after,measure_delta,reset_before,reset_after,reset_delta,top_ops_before,top_ops_after,n_qubits_before,n_qubits_after
2025-10-05T22:27:19,quantinuum,vbe_adder,10,,RB,RR,A_then_B,222,198,-24,535,461,-74,524,451,-73,472,399,-73,62,62,0,1,0,-1,1,0,-1,10,10,0,0,0,0,"[[""rx"", 246], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10], [""barrier"", 1]]","[[""rx"", 177], [""ry"", 124], [""rz"", 88], [""zzphase"", 62], [""measure"", 10]]",10,10
2025-10-05T22:27:19,quantinuum,vbe_adder,10,,RB,RR,B_then_A,222,198,-24,535,465,-70,524,455,-69,472,403,-69,62,62,0,1,0,-1,1,0,-1,10,10,0,0,0,0,"[[""rx"", 246], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10], [""barrier"", 1]]","[[""rx"", 177], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10]]",10,10
2025-10-05T22:27:19,quantinuum,vbe_adder,10,,RB,CTM,A_then_B,222,224,2,535,534,-1,524,524,0,472,472,0,62,62,0,1,0,-1,1,0,-1,10,10,0,0,0,0,"[[""rx"", 246], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10], [""barrier"", 1]]","[[""rx"", 246], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10]]",10,10
2025-10-05T22:27:19,quantinuum,vbe_adder,10,,RB,CTM,B_then_A,222,224,2,535,534,-1,524,524,0,472,472,0,62,62,0,1,0,-1,1,0,-1,10,10,0,0,0,0,"[[""rx"", 246], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10], [""barrier"", 1]]","[[""rx"", 246], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10]]",10,10
2025-10-05T22:27:20,quantinuum,vbe_adder,10,,RR,CTM,A_then_B,222,200,-22,535,466,-69,524,455,-69,472,403,-69,62,62,0,1,1,0,1,1,0,10,10,0,0,0,0,"[[""rx"", 246], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10], [""barrier"", 1]]","[[""rx"", 177], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10], [""barrier"", 1]]",10,10
2025-10-05T22:27:20,quantinuum,vbe_adder,10,,RR,CTM,B_then_A,222,194,-28,535,448,-87,524,437,-87,472,385,-87,62,62,0,1,1,0,1,1,0,10,10,0,0,0,0,"[[""rx"", 246], [""ry"", 124], [""rz"", 92], [""zzphase"", 62], [""measure"", 10], [""barrier"", 1]]","[[""rx"", 177], [""ry"", 124], [""rz"", 74], [""zzphase"", 62], [""measure"", 10], [""barrier"", 1]]",10,10
2025-10-05T22:27:20,quantinuum,vbe_adder,13,,RB,RR,A_then_B,299,267,-32,742,640,-102,728,627,-101,655,554,-101,86,86,0,1,0,-1,1,0,-1,13,13,0,0,0,0,"[[""rx"", 342], [""ry"", 172], [""rz"", 128], [""zzphase"", 86], [""measure"", 13], [""barrier"", 1]]","[[""rx"", 246], [""ry"", 172], [""rz"", 123], [""zzphase"", 86], [""measure"", 13]]",13,13
2025-10-05T22:27:20,quantinuum,vbe_adder,13,,RB,RR,B_then_A,299,267,-32,742,645,-97,728,632,-96,655,559,-96,86,86,0,1,0,-1,1,0,-1,13,13,0,0,0,0,"[[""rx"", 342], [""ry"", 172], [""rz"", 128], [""zzphase"", 86], [""measure"", 13], [""barrier"", 1]]","[[""rx"", 246], [""ry"", 172], [""rz"", 128], [""zzphase"", 86], [""measure"", 13]]",13,13
2025-10-05T22:27:20,quantinuum,vbe_adder,13,,RB,CTM,A_then_B,299,301,2,742,741,-1,728,728,0,655,655,0,86,86,0,1,0,-1,1,0,-1,13,13,0,0,0,0,"[[""rx"", 342], [""ry"", 172], [""rz"", 128], [""zzphase"", 86], [""measure"", 13], [""barrier"", 1]]","[[""rx"", 342], [""ry"", 172], [""rz"", 128], [""zzphase"", 86], [""measure"", 13]]",13,13
2025-10-05T22:27:20,quantinuum,vbe_adder,13,,RB,CTM,B_then_A,299,301,2,742,741,-1,728,728,0,655,655,0,86,86,0,1,0,-1,1,0,-1,13,13,0,0,0,0,"[[""rx"", 342], [""ry"", 172], [""rz"", 128], [""zzphase"", 86], [""measure"", 13], [""barrier"", 1]]","[[""rx"", 342], [""ry"", 172], [""rz"", 128], [""zzphase"", 86], [""measure"", 13]]",13,13
